,Name,Desc,Runs_Scored,Balls_Faced,4s_hit,6s_hit,SR,Team,Overs_Bowled,Maidens,Runs_Given,Wickets,Econ,Dots,4s_Given,6s_Given,Wd,Nb
16,PP Chawla,c Yadav b Cutting,11,13,1,0,84.61,2,4,0,48,3,12,10,6,3,0,0
17,Kuldeep Yadav,lbw b KH Pandya,5,15,0,0,33.33,2,3,0,43,0,14.33,5,1,5,0,0
18,M Prasidh Krishna,not out,1,5,0,0,20,2,4,0,41,1,10.25,8,4,2,1,0
19,MJ McClenaghan,DNB,0,0,0,0,0,1,3,0,24,1,8,11,4,1,0,0
20,M Markande,DNB,0,0,0,0,0,1,4,0,26,1,6.5,10,2,1,0,0
21,JJ Bumrah,DNB,0,0,0,0,0,1,3,0,17,1,5.66,10,1,1,0,0
0,S Dhawan,b Chahar,0,1,0,0,0,1,,,,,,,,,,
1,SP Goswami,c & b Ngidi,12,9,2,0,133.33,1,,,,,,,,,,
2,KS Williamson,c †Dhoni b Thakur,24,15,4,0,160,1,,,,,,,,,,
3,MK Pandey,c & b Jadeja,8,16,0,0,50,1,,,,,,,,,,
4,Shakib Al Hasan,c †Dhoni b Bravo,12,10,2,0,120,1,2,0,20,0,10,1,1,1,0,0
5,YK Pathan,c & b Bravo,24,29,3,0,82.75,1,,,,,,,,,,
6,CR Brathwaite,not out,43,29,1,4,148.27,1,3,0,31,0,10.33,7,3,2,1,0
7,B Kumar,run out (†Dhoni),7,11,0,0,63.63,1,3.1,0,14,1,4.42,12,0,1,1,0
8,SR Watson,c †Goswami b Kumar,0,5,0,0,0,2,,,,,,,,,,
9,F du Plessis,not out,67,42,5,4,159.52,2,,,,,,,,,,
10,SK Raina,b Kaul,22,13,4,0,169.23,2,,,,,,,,,,
11,AT Rayudu,b Kaul,0,1,0,0,0,2,,,,,,,,,,
12,MS Dhoni,b Rashid Khan,9,18,1,0,50,2,,,,,,,,,,
13,DJ Bravo,c Dhawan b Rashid Khan,7,11,0,0,63.63,2,4,0,25,2,6.25,9,1,0,4,0
14,RA Jadeja,c & b Sandeep Sharma,3,5,0,0,60,2,4,0,13,1,3.25,14,1,0,0,0
15,DL Chahar,c Brathwaite b Sandeep Sharma,10,6,0,1,166.66,2,4,0,31,1,7.75,12,5,0,2,0
16,Harbhajan Singh,run out (Rashid Khan/Brathwaite),2,9,0,0,22.22,2,,,,,,,,,,
17,SN Thakur,not out,15,5,3,0,300,2,4,0,50,1,12.5,9,3,4,3,0
18,Rashid Khan,DNB,0,0,0,0,0,1,4,0,11,2,2.75,14,0,0,0,0
19,S Kaul,DNB,0,0,0,0,0,1,4,0,32,2,8,10,5,0,1,0
20,Sandeep Sharma,DNB,0,0,0,0,0,1,3,0,30,2,10,6,4,1,0,0
21,L Ngidi,DNB,0,0,0,0,0,2,4,0,20,1,5,10,2,0,0,0
0,RA Tripathi,not out,80,58,5,3,137.93,1,,,,,,,,,,
1,JC Archer,c †Patel b Yadav,0,4,0,0,0,1,4,0,37,0,9.25,11,4,2,1,0
2,AM Rahane,lbw b Yadav,33,31,3,0,106.45,1,,,,,,,,,,
3,SV Samson,c Ali b Yadav,0,1,0,0,0,1,,,,,,,,,,
4,H Klaasen,c Ali b Mohammed Siraj,32,21,3,1,152.38,1,,,,,,,,,,
5,K Gowtham,run out (†Patel/Southee),14,5,0,2,280,1,2,0,6,1,3,6,0,0,0,0
6,V Kohli,b Gowtham,4,9,0,0,44.44,2,,,,,,,,,,
7,PA Patel,st †Klaasen b Gopal,33,21,3,2,157.14,2,,,,,,,,,,
8,AB de Villiers,st †Klaasen b Gopal,53,35,7,0,151.42,2,,,,,,,,,,
9,MM Ali,c & b Gopal,1,2,0,0,50,2,2,0,19,0,9.5,5,0,2,0,0
10,Mandeep Singh,st †Klaasen b Gopal,3,4,0,0,75,2,,,,,,,,,,
11,C de Grandhomme,c Rahane b Sodhi,2,3,0,0,66.66,2,2,0,23,0,11.5,0,0,1,3,0
12,SN Khan,c †Klaasen b Laughlin,7,8,1,0,87.5,2,,,,,,,,,,
13,TG Southee,c Gowtham b Unadkat,14,17,2,0,82.35,2,4,0,37,0,9.25,4,1,2,1,0
14,UT Yadav,b Laughlin,0,1,0,0,0,2,4,1,25,3,6.25,12,4,0,0,0
15,Mohammed Siraj,c Gowtham b Unadkat,14,12,2,0,116.66,2,4,0,33,1,8.25,7,3,1,0,0
